ID,Label
5593,Yes
5594,Yes
5595,Yes
5596,Yes
5597,No
5598,No
5599,Yes
5600,No
5601,No
5602,No
5603,Yes
5604,Yes
5605,No
5606,No
5607,Yes
5608,No
5609,Yes
5610,Yes
5611,No
5612,No
5613,No
5614,No
5615,No
5616,No
5617,No
5618,No
5619,No
5620,No
5621,No
5622,Yes
5623,Yes
5624,Yes
5625,Yes
5626,No
5627,No
5628,No
5629,Yes
5630,No
5631,No
5632,No
5633,Yes
5634,No
5635,No
5636,No
5637,Yes
5638,Yes
5639,No
5640,No
5641,No
5642,No
5643,No
5644,No
5645,Yes
5646,No
5647,No
5648,No
5649,No
5650,No
5651,Yes
5652,No
5653,Yes
5654,Yes
5655,Yes
5656,No
5657,No
5658,No
5659,No
5660,No
5661,Yes
5662,No
5663,No
5664,No
5665,Yes
5666,Yes
5667,Yes
5668,Yes
5669,No
5670,No
5671,No
5672,No
5673,No
5674,No
5675,No
5676,Yes
5677,No
5678,Yes
5679,No
5680,Yes
5681,No
5682,No
5683,Yes
5684,No
5685,Yes
5686,No
5687,No
5688,No
5689,Yes
5690,No
5691,No
5692,No
5693,No
5694,No
5695,No
5696,Yes
5697,No
5698,No
5699,No
5700,Yes
5701,No
5702,No
5703,No
5704,No
5705,Yes
5706,No
5707,Yes
5708,No
5709,Yes
5710,No
5711,Yes
5712,No
5713,Yes
5714,No
5715,Yes
5716,Yes
5717,No
5718,No
5719,No
5720,No
5721,No
5722,Yes
5723,No
5724,Yes
5725,No
5726,No
5727,No
5728,Yes
5729,Yes
5730,No
5731,No
5732,No
5733,No
5734,No
5735,Yes
5736,No
5737,No
5738,Yes
5739,No
5740,No
5741,Yes
5742,Yes
5743,No
5744,Yes
5745,No
5746,No
5747,No
5748,No
5749,No
5750,No
5751,No
5752,No
5753,Yes
5754,No
5755,No
5756,No
5757,No
5758,No
5759,No
5760,No
5761,Yes
5762,No
5763,No
5764,No
5765,Yes
5766,No
5767,Yes
5768,Yes
5769,No
5770,No
5771,No
5772,Yes
5773,No
5774,No
5775,Yes
5776,Yes
5777,Yes
5778,Yes
5779,No
5780,No
5781,No
5782,No
5783,No
5784,No
5785,No
5786,No
5787,No
5788,No
5789,Yes
5790,No
5791,No
5792,Yes
5793,No
5794,No
5795,Yes
5796,No
5797,Yes
5798,No
5799,Yes
5800,No
5801,No
5802,Yes
5803,Yes
5804,No
5805,No
5806,No
5807,No
5808,No
5809,Yes
5810,No
5811,No
5812,No
5813,No
5814,No
5815,No
5816,Yes
5817,No
5818,No
5819,No
5820,Yes
5821,No
5822,No
5823,No
5824,No
5825,No
5826,No
5827,No
5828,Yes
5829,Yes
5830,Yes
5831,No
5832,No
5833,No
5834,No
5835,No
5836,No
5837,Yes
5838,Yes
5839,Yes
5840,No
5841,No
5842,No
5843,No
5844,No
5845,No
5846,No
5847,No
5848,Yes
5849,No
5850,No
5851,No
5852,Yes
5853,No
5854,Yes
5855,No
5856,Yes
5857,No
5858,No
5859,Yes
5860,Yes
5861,Yes
5862,Yes
5863,No
5864,No
5865,No
5866,No
5867,No
5868,No
5869,No
5870,No
5871,No
5872,No
5873,No
5874,No
5875,Yes
5876,No
5877,No
5878,Yes
5879,No
5880,No
5881,Yes
5882,Yes
5883,Yes
5884,No
5885,No
5886,No
5887,No
5888,No
5889,No
5890,Yes
5891,Yes
5892,No
5893,No
5894,Yes
5895,No
5896,Yes
5897,No
5898,No
5899,Yes
5900,No
5901,No
5902,No
5903,Yes
5904,No
5905,No
5906,No
5907,No
5908,Yes
5909,Yes
5910,No
5911,No
5912,No
5913,No
5914,No
5915,No
5916,Yes
5917,Yes
5918,No
5919,No
5920,Yes
5921,Yes
5922,No
5923,Yes
5924,Yes
5925,No
5926,Yes
5927,Yes
5928,Yes
5929,No
5930,No
5931,No
5932,No
5933,Yes
5934,No
5935,No
5936,No
5937,Yes
5938,No
5939,No
5940,Yes
5941,No
5942,No
5943,No
5944,Yes
5945,No
5946,No
5947,No
5948,Yes
5949,No
5950,No
5951,No
5952,No
5953,No
5954,No
5955,Yes
5956,No
5957,No
5958,No
5959,No
5960,No
5961,Yes
5962,No
5963,No
5964,Yes
5965,No
5966,Yes
5967,No
5968,Yes
5969,No
5970,Yes
5971,No
5972,No
5973,Yes
5974,Yes
5975,No
5976,Yes
5977,Yes
5978,Yes
5979,No
5980,No
5981,No
5982,Yes
5983,Yes
5984,No
5985,Yes
5986,Yes
5987,Yes
5988,Yes
5989,No
5990,No
5991,Yes
5992,No
5993,No
5994,No
5995,No
5996,Yes
5997,No
5998,No
5999,No
6000,No
6001,No
6002,No
6003,No
6004,No
6005,Yes
6006,No
6007,No
6008,Yes
6009,No
6010,Yes
6011,Yes
6012,No
6013,No
6014,No
6015,Yes
6016,No
6017,Yes
6018,No
6019,No
6020,Yes
6021,No
6022,No
6023,Yes
6024,No
6025,Yes
6026,No
6027,No
6028,No
6029,No
6030,No
6031,No
6032,Yes
6033,Yes
6034,Yes
6035,No
6036,Yes
6037,No
6038,No
6039,Yes
6040,No
6041,Yes
6042,Yes
6043,No
6044,No
6045,No
6046,Yes
6047,No
6048,No
6049,No
6050,No
6051,Yes
6052,No
6053,No
6054,Yes
6055,No
6056,Yes
6057,No
6058,Yes
6059,No
6060,No
6061,Yes
6062,No
6063,Yes
6064,Yes
6065,No
6066,Yes
6067,No
6068,Yes
6069,No
6070,No
6071,No
6072,Yes
6073,No
6074,Yes
6075,No
6076,No
6077,No
6078,No
6079,Yes
6080,No
6081,Yes
6082,Yes
6083,Yes
6084,No
6085,No
6086,Yes
6087,No
6088,No
6089,No
6090,Yes
6091,No
6092,No
6093,Yes
6094,No
6095,Yes
6096,No
6097,No
6098,Yes
6099,Yes
6100,Yes
6101,No
6102,No
6103,Yes
6104,No
6105,Yes
6106,No
6107,No
6108,No
6109,No
6110,No
6111,Yes
6112,No
6113,No
6114,No
6115,No
6116,Yes
6117,No
6118,Yes
6119,No
6120,No
6121,No
6122,No
6123,No
6124,No
6125,Yes
6126,Yes
6127,No
6128,No
6129,No
6130,No
6131,No
6132,No
6133,Yes
6134,No
6135,No
6136,No
6137,Yes
6138,No
6139,Yes
6140,No
6141,No
6142,No
6143,No
6144,Yes
6145,No
6146,No
6147,No
6148,No
6149,Yes
6150,Yes
6151,No
6152,No
6153,No
6154,No
6155,Yes
6156,Yes
6157,No
6158,No
6159,No
6160,Yes
6161,No
6162,No
6163,No
6164,No
6165,Yes
6166,No
6167,No
6168,No
6169,Yes
6170,Yes
6171,No
6172,No
6173,No
6174,No
6175,Yes
6176,No
6177,No
6178,No
6179,No
6180,No
6181,No
6182,Yes
6183,No
6184,Yes
6185,No
6186,No
6187,No
6188,No
6189,No
6190,No
6191,No
6192,No
6193,No
6194,No
6195,Yes
6196,No
6197,No
6198,Yes
6199,No
6200,No
6201,No
6202,Yes
6203,Yes
6204,Yes
6205,Yes
6206,Yes
6207,No
6208,No
6209,No
6210,No
6211,Yes
6212,No
6213,No
6214,No
6215,Yes
6216,Yes
6217,No
6218,No
6219,Yes
6220,No
6221,No
6222,Yes
6223,No
6224,No
6225,No
6226,No
6227,No
6228,No
6229,No
6230,No
6231,Yes
6232,No
6233,Yes
6234,No
6235,Yes
6236,Yes
6237,No
6238,No
6239,No
6240,No
6241,Yes
6242,No
6243,Yes
6244,Yes
6245,Yes
6246,No
6247,Yes
6248,Yes
6249,No
6250,No
6251,No
6252,No
6253,Yes
6254,No
6255,Yes
6256,No
6257,No
6258,Yes
6259,No
6260,No
6261,Yes
6262,No
6263,No
6264,Yes
6265,No
6266,No
6267,Yes
6268,No
6269,Yes
6270,No
6271,Yes
6272,No
6273,Yes
6274,No
6275,No
6276,Yes
6277,No
6278,Yes
6279,No
6280,No
6281,No
6282,Yes
6283,No
6284,No
6285,Yes
6286,Yes
6287,No
6288,No
6289,No
6290,No
6291,No
6292,No
6293,No
6294,No
6295,Yes
6296,No
6297,Yes
6298,No
6299,No
6300,Yes
6301,No
6302,No
6303,No
6304,Yes
6305,No
6306,Yes
6307,No
6308,No
6309,Yes
6310,No
6311,No
6312,Yes
6313,No
6314,No
6315,Yes
6316,No
6317,Yes
6318,No
6319,No
6320,No
6321,No
6322,No
6323,No
6324,No
6325,No
6326,No
6327,No
6328,Yes
6329,No
6330,No
6331,Yes
6332,No
6333,No
6334,No
6335,No
6336,Yes
6337,Yes
6338,Yes
6339,Yes
6340,No
6341,Yes
6342,Yes
6343,Yes
6344,No
6345,Yes
6346,No
6347,No
6348,No
6349,No
6350,No
6351,Yes
6352,Yes
6353,No
6354,No
6355,Yes
6356,Yes
6357,No
6358,Yes
6359,No
6360,Yes
6361,Yes
6362,No
6363,No
6364,No
6365,No
6366,No
6367,Yes
6368,Yes
6369,Yes
6370,Yes
6371,No
6372,No
6373,Yes
6374,No
6375,Yes
6376,Yes
6377,No
6378,No
6379,Yes
6380,Yes
6381,Yes
6382,Yes
6383,Yes
6384,Yes
6385,Yes
6386,No
6387,Yes
6388,Yes
6389,No
6390,No
6391,Yes
6392,Yes
6393,No
6394,No
6395,No
6396,No
6397,No
6398,No
6399,Yes
6400,Yes
6401,No
6402,No
6403,Yes
6404,No
6405,No
6406,No
6407,Yes
6408,Yes
6409,No
6410,No
6411,Yes
6412,No
6413,No
6414,Yes
6415,No
6416,No
6417,Yes
6418,No
6419,Yes
6420,Yes
6421,Yes
6422,No
6423,Yes
6424,No
6425,Yes
6426,Yes
6427,No
6428,No
6429,No
6430,Yes
6431,Yes
6432,No
6433,Yes
6434,No
6435,Yes
6436,No
6437,No
6438,No
6439,No
6440,No
6441,Yes
6442,No
6443,Yes
6444,Yes
6445,Yes
6446,Yes
6447,No
6448,Yes
6449,Yes
6450,No
6451,No
6452,No
6453,No
6454,No
6455,No
6456,No
6457,No
6458,No
6459,No
6460,Yes
6461,Yes
6462,No
6463,No
6464,No
6465,No
6466,No
6467,No
6468,No
6469,No
6470,No
6471,No
6472,Yes
6473,No
6474,Yes
6475,No
6476,No
6477,Yes
6478,No
6479,No
6480,Yes
6481,No
6482,Yes
6483,No
6484,No
6485,Yes
6486,No
6487,No
6488,Yes
6489,Yes
6490,No
6491,No
6492,No
6493,Yes
6494,Yes
6495,Yes
6496,Yes
6497,No
6498,No
6499,Yes
6500,Yes
6501,No
6502,No
6503,Yes
6504,No
6505,No
6506,No
6507,No
6508,Yes
6509,Yes
6510,No
6511,Yes
6512,No
6513,Yes
6514,No
6515,Yes
6516,No
6517,Yes
6518,No
6519,Yes
6520,No
6521,Yes
6522,No
6523,No
6524,No
6525,Yes
6526,Yes
6527,Yes
6528,Yes
6529,No
6530,Yes
6531,Yes
6532,No
6533,Yes
